Covidence #,Study ID,Title,Reviewer Name,Year of publication,Author contact,Country in which the study conducted,Notes,Level of Evidence,Aims,Nail focus,Study design,Approach 1,Approach 2,Approach 3,Locking description,Fracture description/location,Open/closed fracture description,Reamed description,Post-op weight bearing regime description,Nail removal,Mechanism of injury description,Total number of participants,Inclusion criteria,Exclusion criteria,Outcomes used,Method of outcome,Participants:,Total Male,Total Female,Total Total,Approach1 Male,Approach1 Female,Approach1 Total,Approach2 Male,Approach2 Female,Approach2 Total,Approach3 Male,Approach3 Female,Approach3 Total,Age mean Male,Age mean Female,Age mean Total,Age SD Male,Age SD Female,Age SD Total,Other Male,Other Female,Other Total,Follow up times:,Follow up time(s) time1,Follow up time(s) time2,Follow up time(s) time3,Follow up time(s) time4,Key findings,Limitations
1231,Kulkarni 2020,Suprapatellar nailing in proximal third tibial fractures - Clinicoradiological outcome,Consensus,2020,naikortho@gmail.com,Other: India,,IV,To evaluate the clinical and radiological outcome of proximal third tibia fractures managed by suprapatellar nailing with a minimum follow-up of 12 months,SPN,Retrospective cohort study,SPN midline,NA,NA,Yes,Yes,Yes,Yes,No,No,No,43,,,"Binary yes/no; Alignment; Other: Union, Lower Extremity Functional Scale, Shortening, Rotational deformity",,,,,43,,,43,,,,,,,,,,,,,,,,,1.5,3,4.5,"6, 12","Suprapatellar nailing is a viable option for proximal third tibia fractures due to its inherent advantages of positioning, perfect nail entry and placement","Retrospective nature of the study, absence of control group of other methods of management to compare and contrast, relative short term follow up which might not reveal sequel of malalignment such as arthritic changes are the major limitations"
1222,Cinats 2020,The influence of sagittal proximal tibial anatomy in tibial intramedullary nailing,Consensus,2020,davidcinats@gmail.com,Canada,,III,quantify anatomic variation in sagittal proximal tibial anatomy and determine if anatomy or nail insertion method influences the radiographic nail position,IPN vs SPN,Retrospective cohort study,"Other: IPN transpatellar, IPN medial parapatellar",SPN midline,NA,Yes,No,No,Yes,Yes,No,No,45,,,Surgery time; Nail insertion location; Alignment; Other: Union,,,,,,,,22,,,23,,,,,,40.6,,,,,,,,1.5,,,,"Considerable variability in proximal tibial anatomy and these features influences the nail position within the tibia. These differences in anatomy should be considered to potentially reduce operative times, entry point displacement and anteriorization of tibial nails","relatively low numbers of patients in each cohort when stratified by both nail insertion method and proximal tibial anatomy. IMN was performed by 6 different surgeons, and the heterogeneity of the surgical technique could contribute to the differences in results. The radiographic analysis was performed by a single observer, and reliability of the measurements was not established. Finally, this was a radiographic study only with no patient-reported outcome measures"
1218,Allen 2020,The Learning Curve of Suprapatellar Nailing: Adoption Over Time Can Decrease Operative Time and Radiation Exposure,Consensus,2020,pmatuszewski@uky.edu,United States,,III,determine whether suprapatellar nailing (SPN) overtime can decrease operative time and radiation exposure whencompared with infrapatellar nailing (IPN) of tibial shaft fractures,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,Yes,Yes,Yes,No,No,No,No,341,,,Surgery time; Radiation dose; Alignment,,,229,112,,,,177,,,164,,,,,,41.3,,,,,,,,,,,,"Tibia fractures treated with SPN have significantly decreased operative times and radiation exposure compared with those treated with IPN, after allowing time for the surgeon to gain sufficient experience with the technique",retrospective nature of thisstudy and the confounding variable of resident participation
543,Ozcan 2020,Comparison of three different approaches for anterior knee pain after tibia intramedullary nailing,Consensus,2020,cagriozcann@gmail.com,Other: Turkey,,III,"compare anterior knee pain and functional outcomes in patients who underwent intramedullary tibial nailing using transpatellar, medial parapatellar or suprapatellar nail entry methods",IPN vs SPN,Other: Prospective cohort study,SPN midline,IPN transpatellar,IPN medial parapatellar,Yes,No,No,Yes,No,No,No,58,,,Binary yes/no; Kujala; Lysholm; Surgery time; Nail insertion location; Other: Hospital stay,In person,,,,,,,21,,,21,,,16,,,,,,,,,,,16,23,45,,Our study found that the suprapatellar tibia nailing method is as safe and reliable as the transpatellar and medial parapatellar methods in terms of its effect on postoperative anterior knee pain and knee functional outcomes,
541,Maslow 2020,Radiographic Evaluation of the Tibial Intramedullary Nail Entry Point,Consensus,2020,hayden.l.joseph@vumc.org,United States,,III,determine the accuracy and precision with which the starting point is established and if this is maintained after nail insertion during fracture fixation,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,No,Yes,Yes,No,No,No,No,100,,,Nail insertion location; ROM,In person,,,,,,,50,,,50,,,,,,,,,,,,,,,,,,"although the ideal starting point for tibial IMN implantation is well described, this is frequently not the entry point accepted in practice. Despite variation in precision, surgeon accuracy appears to be high enough to remain within the previously defined entry point safe zone for both suprapatellar and infrapatellar methods",
539,Lu 2020,A comparison of the use of a suprapatellar Chinese Aircraft-shaped Sleeve System versus suprapatellar intramedullary nailing for tibial shaft fractures: Outcomes over a one-year follow-up,Consensus,2020,dongqirong@suda.edu.cn,Other: China,,II,,SPN,Randomised controlled trial,SPN unspecified,Other: SPN Chinese aircraft-shaped sleeve,NA,Yes,Yes,Yes,No,No,Yes,Yes,67,,,"Lysholm; VAS; Alignment; ROM; Other: Union, Patellofemoral joint damage (MRI), Pain diagram, Rotational deformity",In person,,,,,,,34,,,33,,,,,,,,,,,,,,12,,,,we conclude that the CASS system represents a novel and viable means of improving treatment outcomes in smaller patients undergoing intramedullary nailing via the SP approach as a means of treating tibial shaft fractures,
535,Hessmann 2020,Suprapatellar nailing of fractures of the tibia,Consensus,2020,Martin.Hessmann@klinikum-fulda.de,Other: Germany,,III,,SPN,Retrospective cohort study,SPN unspecified,NA,NA,Yes,Yes,Yes,No,No,No,Yes,61,,,Surgery time; Alignment; ROM; Other: Union,Not-specified,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,
530,Valsamis 2019,Suprapatellar tibial nailing: a learning curve analysis,Consensus,2019,markkosvalsamis@gmail.com,UK,,III,investigate the learning curve of the suprapatellar technique using radiation exposure as an outcome measure,IPN vs SPN,Prospective cohort study,IPN transpatellar,SPN midline,NA,No,Yes,No,No,No,No,No,83,,,Radiation dose,,,,,,,,43,,,40,,,,,,,,,,,,,,,,,,This study demonstrated that there was no evidence of a learning curve for consultant trauma surgeons who were introducing the suprapatellar technique for intramedullary nailing of tibial fractures when radiation exposure was used as a learning outcome,
528,Stella 2019,Semiextended Tibial Nail Insertion Using an Extraarticular Lateral Parapatellar Approach: A 24-Month Follow-up Prospective Cohort Study,Consensus,2019,e.santolini@me.com,Other: Italy,,III,analyze the outcomes of tibial shaft fractures treated with a lateral parapatellar approach in the semiextended position for intramedullary nail insertion.,Other: SE,Prospective cohort study,Other: Semi-extended lateral parapatellar (EA),NA,NA,Yes,Yes,Yes,Yes,Yes,No,No,70,,,"Binary yes/no; Lysholm; Alignment; ROM; Other: Nail-apex distance, Union, RUST score, Quadriceps strength, Complications, VAS (ND)",Not-specified,,,,,,,70,,,,,,,,,,,,,,,,,41.2,,,,"The results of this series confirm the advantage of a completely extra artic-ular technique, along with the benefits of the semiextended position, useful for dealing with distal and proximal fractures but equally beneficial for diaphyseal fractures.","use of the Lysholm score, which is not focused on anterior knee pain. Its application allows for the comparison with previous studies on the same topic, taking into account that the Lysholm score considers parameters that allow it to be adopted for the evaluation of anterior knee pain."
526,Serbest 2019,Knee Pain and Functional Scores After Intramedullary Nailing of Tibial Shaft Fractures Using a Suprapatellar Approach,Consensus,2019,dr.sancarserbest@hotmail.com,Other: Turkey,,IV,evaluate the effects of intramedullar nailing of the tibia using a suprapatellar (SP) approach with respect to pain and function of the knee.,SPN,Prospective cohort study,Other: SPN unspecified,Other: NA,NA,No,Yes,Yes,No,Yes,No,No,21,,,"Lysholm; SF-36; Radiation dose; Nail insertion location; Alignment; ROM; Other: Union, Outerbridge scale, VAS (ND), Patellofemoral joint damage (arthroscopy), Rotational deformity",,,,,,,,21,,,,,,,,,,,,,,,,,3,6,12,,SP portal for RIMN in the semiextended position resulted in lower rates of anterior knee pain than reported in literature without sacrificing knee function as evidenced by the excellent clinical outcome scores.,
524,Rothberg 2019,A Comparison of the Open Semi-extended Parapatellar Versus Standard Entry Tibial Nailing Techniques and Knee Pain: A Randomized Controlled Trial,Consensus,2019,david.rothberg@hsc.utah.edu,United States,,I,"determine if an open, semi-extended, parapatellartibial nailing technique (SEK) imparts any undue knee symptoms/pain compared with the traditional infrapatellar tibial nailingtechnique (FK)",Other: IPN vs SE,Randomised controlled trial,Other: Semi-extended lateral parapatellar (EA),Other: IPN unspecified,Other: NA,Yes,Yes,Yes,Yes,No,Yes,Yes,47,,,"Alignment; Other: Union, Hardware prominence, IKDC Subjective Knee Form",Not-specified,,,,,,,24,,,23,,,,,,,,,,,,,,1.5,3,6,12,"This randomized controlled trial demonstrates that the use of the open semi-extended, parapatellar technique for tibial nailing should not be associated with any higher likelihood of knee pain/symptoms than the traditional flexed knee, infrapatellar technique",
520,Özbek 2019,Do the Loss of Thigh Muscle Strength and Tibial Malrotation Cause Anterior Knee Pain after Tibia Intramedullary Nailing?,Consensus,2019,anlozbek@icloud.com,Other: Turkey,,III,"examine the association of the postoperative AKP with two factors, which are the thigh muscle weakness and alterations in the Staheli lower extremity rotational profiles",IPN,Retrospective cohort study,IPN transpatellar,NA,NA,No,Yes,Yes,No,No,No,Yes,40,,,"Binary yes/no; Other: Quadriceps strength, Hamstrings strength, Staheli rotational profile, Tegner",,,,,,,,40,,,,,,,,,,,,,,,,,22.5,,,,"the only parameter with a statistically significant correlation to the pain complication, was determined to be the loss of strength in the hamstring muscles",
517,Nicolescu 2019,Tensioned Wire-Assisted Intramedullary Nail Treatment of Proximal Tibia Shaft Fractures: A Technical Trick,Consensus,2019,nicolescu@med.miami.edu,United States,,III,We present tensioned wire nailing as a technical trick for anatomic and stable reduction of proximal tibia fractures and com-pare a cohort of proximal tibia shaft fractures managed with and without tensioned wire assistance.,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN transpatellar,NA,Yes,Yes,Yes,No,No,No,No,77,,,Alignment,,,,,,,,42,,,35,,,,,,,,,,,,,,,,,,performing IMN of proximal tibia fractures in a semiextended position with our tension wire–assisted technique improves coronal alignment versus conventional technique,
512,MacDonald 2019,Tibial nailing using a suprapatellar rather than an infrapatellar approach significantly reduces anterior knee pain postoperatively: A multicentre clinical trial,Consensus,2019,david.macdonald7@nhs.net,UK,,Other: I,,IPN vs SPN,Randomised controlled trial,SPN unspecified,IPN medial parapatellar,NA,No,No,Yes,No,No,No,Yes,95,,,"Lysholm; Surgery time; Radiation dose; Other: Aberdeen Weightbearing Test - Knee, Irrgang Knee Outcome Survey Activities of Daily Living Scale, Hospital stay, Complications, VAS - knee pain (0 - 100), Fulkerson",In person,,,,,,,53,,,42,,,,,,,,,,,,,,4,6,12,,The suprapatellar surgical approach for antegrade tibial nailing is associated with less anterior knee pain postoperatively compared with the infrapatellar approach,
501,Tornetta 1999,Intraarticular anatomic risks of tibial nailing,Consensus,1999,,United States,,Other: NA,To identify the risks to intraarticular structures of the knee during tibial portal creation and to identify the safe zone for tibial nail placement,IPN,Cadaveric,IPN medial parapatellar,IPN lateral parapatellar,NA,NA,NA,NA,Yes,NA,Other: No,NA,40,,,"Nail insertion location; Other: Menisci damage (inspection post-dissection), Anterior cruciate ligament damage (inspection post-dissection), Articular surface damage (inspection post-dissection)",Not-specified,,,,,,,20,,,20,,,,,,,,,,,,,,,,,,"A portal slightly lateral to the midline of the tibial plateau places intraarticular structures of the knee at the least risk. If reaming is performed, then placement becomes even more important because in some cases the safe zone is smaller than the standard-size reamers used",
498,Hallam 1998,Patellar tendon split or parapatellar approach for tibial nailing? Does it affect the patellar height?,Consensus,1998,,UK,,III,"see  if  intramedullary  nailing  has  any  effect  on  the  patellar height  and,  if  so,  whether  the  surgical  approach  is relevant",IPN,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,No,No,No,No,No,No,No,18,,,Other: Blackburne-Peel index,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,"The significance of lowering of the patella is not clear. However,   taken   with   the   previously   reported   increased  incidence  of knee  pain with the  patellar  tendon  splitting,  this  study  adds  weight  to  the  case  for the medial parapatellar approach.",No follow up time reported
496,Tornetta 1996,Semiextended position for intramedullary nailing of the proximal tibia,Consensus,1996,,United States,,IV,"describe the use of a semiextended  position (range, 15""-20"" flexion) to aid in the intraoperative reduction and nailing of proximal  fractures. ",Other: SE,Case series,Other: Semi-extended medial parapatellar (IA),NA,NA,Yes,Yes,Yes,Yes,No,No,No,30,,,Alignment; Other: Complications,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,"Use of the  semiextended position with a partial   medial parapatellar  arthrotomy  enhanced  the authors’ ability to nail these fractures.  This approach  was effective,  reproducible,  and had a low complication rate. This technique is recommended for the nailing of proximal tibia fractures",
490,Ladurner 2019,Decrease surgery time by using an alternative lateral parapatellar approach for tibia shaft fracture nailing,Consensus,2019,andreasladurner@gmx.net,Other: Switzerland,,III," assess whether the medial parapatellar, transpatellar and lateral parapatellar approaches differ in those aspects of surgical management.",Other: IPN vs SE,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,Other: Other: Semi-extended lateral parapatellar (EA),Yes,Yes,Yes,Yes,No,No,Yes,73,,,"Surgery time; Radiation dose; Other: Hospital stay, Complications",,,,,,,,29,,,18,,,26,,,,,,,,,,,,,,,"Lateral parapatellar approach for nail osteosynthesis of tibia shaft fractures facilitates the surgical procedure, resulting in significant shorter operation time. There was a trend towards less intraoperative radiation exposure, but no significant difference could be detected between the three groups with the given number of patients",
487,Isaac 2019,Incidence of Knee Pain Beyond 1 Year: Suprapatellar Versus Infrapatellar Approach for Intramedullary Nailing of the Tibia,Consensus,2019,gslobogean@som.umaryland.edu,United States,,III,compare the magnitude of knee pain between the suprapatellar (SP) and infrapatellar (IP) approach for tibial nailing inpatients who are more than 1 year after injury.,IPN vs SPN,Retrospective cohort study,IPN medial parapatellar,IPN transpatellar,SPN midline,No,No,Yes,No,No,No,No,262,"all open and closed tibia fractures treated with intra-medullary nailing, patients 18-80 years of age, and at least 12months from time of surgery","Patients who presented with bilateral fractures were not excluded from the study. Patients were excluded if they did not speak English, were a prisoner, were diagnosed with a  severe psychiatric  condition,  were unable to provide informed consent, or had a delayed amputation from failed limb salvage. Patients were also excluded if they had a retro-grade plantar nail insertion or an unknown surgical approach","Other: NRS - kneeling (0 - 10), NRS - rest (0 - 10), NRS - walking (0 - 10), NRS - last 24 hrs (0 - 10)",Phone,,,,,,,171,,,,,,91,,,,,,,,,,,50.4,43.2,,,there is no difference in the incidence of knee pain between the SP and IP approach for intramedullary nailing of tibial fractures,retrospective design and potential for selection bias.
482,Cui 2019,Suprapatellar versus infrapatellar approaches in the treatment of tibia intramedullary nailing: a retrospective cohort study,Consensus,2019,"yanshuanggen686@hotmail.com
",Other: China,,III,Compare the clinical and functional outcomes of knee joint after tibia IMN through an suprapatellar (SP) or traditional infrapatellar (IP)approach,IPN vs SPN,Retrospective cohort study,IPN medial parapatellar,SPN midline,NA,No,No,Yes,Yes,No,No,No,50,extra-articular tibia fractures (OTA),"Prior fracture of ipsilateral tibia, open fracture, intra-articular tibia fracture, pathological fracture, multiple trauma, and insufficient radiographic or chart data",Surgery time; Blood loss; Other: Hospital for Special Surgery knee score,Not-specified,,,,,,,26,,,24,,,,,,,,,,,,,,23.08,23.92,,,"Both SP and IP approach results in equivalent overall HSS knee scores. However, for the HSS component, the IP approach was superior to SP approach regarding the ROM","Retrospective evaluation for com-paring the SP and IP approaches in intramedullary nailing of tibia with a small sample size. No arthroscopy examination was conducted to identify the cartilage changes pre-operatively and at final follow-up. Alignment of fracture reduction, the fluoroscopy time and the accuracy of the entry point were not evaluated."
481,Çiçekli 2019,Comparison of suprapatellar and infrapatellar tibial nailing: More anatomic entry point and fracture reduction via the suprapatellar approach,Consensus,2019,"drozgurc@gmail.com
",Other: Turkey,,III,Compare clinical and radiographical results of two groups of patients treated with intramedullary nailing for tibial fractures via suprapatellar and infrapatellar routes.,IPN vs SPN,Retrospective cohort study,SPN midline,IPN unspecified,NA,No,Yes,Yes,No,No,No,No,74," Tibial fractures treated by IMN, without any different intervention, were includ-ed in this study. ","Reconstruction surgery, patellar frac-tures, and open fractures requiring external fix-ation","Kujala; Lysholm; Surgery time; Radiation dose; Nail insertion location; Alignment; Other: Insall-Salvati ratio, Patellofemoral arthritis, Tibial slope, Union",In person,,55,19,74,,,33,,,41,,,,,,,,,,,,,,30.2,29.21,,,"Compared to IP IMN, a more accurate tibial entry point was achieved by SP IMN. Better sagittal alignment was obtained for proximal, shaft, and distal third tibial fractures using SP IMN. Therefore, the present study concludes that SP IMN is a safe procedure for PF joints and does not increase anterior knee pain",PF joint evaluation for cartilage changes require a longer follow-up period. The number of patients in the groups was relatively small. This was a single-center study
479,Çiçekli 2019,Suprapatellar approach for fractures of the tibia: Does the fracture level matter?,Consensus,2019,drozgurc@gmail.com,Other: Turkey ,,III,"evaluate proximal, shaft, and distal tibial fractures treated with suprapatellar (SP) tibial intramedullary nailing (IMN) in terms of alignment, healing, and patellofemoral (PF) pain",SPN,Retrospective cohort study,SPN midline,NA,NA,Yes,Yes,Yes,No,Yes,No,No,58,"Skeletally mature patients, type 1 and 2 open or closed tibial fractures operated via SP route, with a minimum of 12-month follow-up.","skeletally immature patients, fractures of intra-articular extension, type 3 open fractures or nailing for tibial pseudarthrosis","Lysholm; Alignment; Other: Kellgren-Lawrence, Union, VAS (ND)",In person,,,,,,,58,,,,,,,,,,,,,,,,,19.83,,,,"suprapatellar tibial IMN may be applicable to all extra-articular tibial fractures. Providing easy anatomic reduction in the semiextended position, convenient fluoroscopic imaging, safety for the PF joint, acceptable anterior knee pain, and satisfactory functional outcome","The PF joint was evaluated by X-rays and might need further investigation with magnetic resonance imaging or intraoperative and postoperative arthroscopic assessment. This study was intended to evaluate the feasibility and safety of the SP technique. Longer follow-up time is needed to compare IP and SP techniques. Moreover, our study was retrospective and not blinded."
475,Leliveld 2019,"An infrapatellar nerve block reduces knee pain in patients with chronic anterior knee pain after tibial nailing: a randomized, placebo-controlled trial in 34 patients",Consensus,2019,m.leliveld@erasmusmc.nl,Other: The Netherlands,,II,In this randomized controlled trial we compared changes in knee pain after an infrapatellar nerve block with lidocaine or placebo in patients with persistent knee pain after tibial nailing,IPN,Randomised controlled trial,IPN medial parapatellar,IPN transpatellar,NA,No,Yes,Yes,No,No,Yes,No,34,,,"Other: NRS - kneeling (0 - 10), NRS - squatting (0 - 10), NRS - sitting with bent knees (0 - 10), NRS - jumping (0 - 10), NRS - stairs (0 - 10), NRS - running (0 - 10), NRS - rest (0 - 10), NRS - walking (0 - 10)",In person,,,,,,,17,,,17,,,,,,,,,,,,,,86,,,,"compared with placebo, an infrapatellar nerve block with lidocaine was more effective in reducing pain during kneeling in patients with chronic knee pain after tibial nailing through a longitudinal infrapatellar incision. Our data support the contention that kneeling pain after tibial nailing is a peripheral nerve-related problem.",
472,Anderson 2019,Intra-medullary nail insertion accuracy: A comparison of the infra-patellar and supra-patellar approach,Consensus,2019,thomas.anderson3@nhs.net,UK,,III,"Thepurposeofthisretrospectivestudywastodetermineifthenewsupra-patella(SP)approachconfersimprovednailinsertionaccuracy,whencomparedwiththestandardinfra-patella(IP)technique.",IPN vs SPN,Retrospective cohort study,IPN unspecified,SPN unspecified,NA,No,No,No,No,No,No,No,200,All tibial IMN’s undertaken between 01/2014 to 02/2018 were identified,ipsilateral tibial plateau fractures treated with open reduction and internal fixation and individuals that did not have appropriate post op imaging,Nail insertion location,Other: Xrays,,,,,78,17,105,,,95,,,,,,,,,,,,,,,,,,SP technique achieved significantly improved nail insertion accuracy in the coronal plane. Insertion accuracy was equivocal between the two techniques in the sagittal plane. A narrower range in entry points was observed in the SP cohort in both planes suggesting improved control in nail insertion using this technique,"lack of homogeneity between the two cohorts with the SP cohort having a significant difference in age, indication for surgery and initial ex-fix management"
468,Williamson 2018,Intra-operative fluoroscopy time and radiation dose during suprapatellar tibial nailing versus infrapatellar tibial nailing,Consensus,2018,,UK,,III,investigate whether the suprapatellar tibial nailing technique offers shorter intraoperative fluoroscopy times and lower radiation doses when compared to the traditional infrapatellar technique,IPN vs SPN,Retrospective cohort study,IPN transpatellar,SPN midline,NA,No,No,No,No,No,No,No,90,,,Radiation dose,,,,,,,,37,,,53,,,,,,,,,,,,,,,,,,"amongst surgeons experienced in both supra and infrapatellar nailing techniques, the suprapatellar approach has significantly lower use of intraoperative fluoroscopy as measured by time and dose and thus potentially lower radiation exposure to the operating surgeon, assistants and patient",
464,Tajima 2018,A heart-shaped sleeve simplifies intramedullary tibial nail insertion when using the suprapatellar approach,Consensus,2018, tajima@2001.jukuin.keio.ac.jp,Other: Japan,,IV,Try new heart-shaped sleeve,SPN,Case series,SPN midline,NA,NA,No,No,No,Yes,No,No,No,44,,,Surgery time,Not-specified,,,,,,,44,,,,,,,,,,,,,,,,,,,,,The novel heart-shaped sleeve and the guide-pin-first method de-scribed here greatly simplify the whole SPA procedure and are likely to provide beneficial outcomes for intra-medullary nailing of tibial shaft fractures,
463,Schumaier 2018,Terminal position of a tibial intramedullary nail: a computed tomography (CT) based study,Consensus,2018,Frank.Avilucea@orlandohealth.com,United States,"8, 6 for prosp and cadaveric numbers",II,characterize the distal anatomic end-point of a tibial intramedullary nail placed using modern surgical techniques,IPN vs SPN,"Other: Prospective cohort study, Cadaveric",SPN unspecified,IPN transpatellar,Other: IPN medial parapatellar,No,Yes,No,No,No,No,No,14,,,Nail insertion location; Other: Nail termination point,In person,,,,,,,4,,,4,,,6,,,,,,,,,,,6,,,,"These results suggest that the treatment of distal tibia fractures with intramedullary nails may be improved by positioning the nail slightly lateral in the distal fragment. If applying these results clinically, it is important to obtain a good mortise view to facilitate visualization of the lateral tibial cortex.",
453,Lu 2018,Application of the Chinese Aircraft-shaped Sleeve system in the treatment of tibial shaft fractures using a suprapatellar approach for tibial intramedullary nailing: a randomised controlled trial,Consensus,2018,dongqirong@suda.edu.cn,Other: China,,II,Investigate the effectiveness of using the Chinese Aircraft-shaped Sleeve (CASS) system on the clinical outcomes of tibial intermedullary nailing using a suprapatellar approach for the treatment of tibial fractures in a cohort of adult Chinese patients.,SPN,Randomised controlled trial,SPN midline,NA,NA,Yes,No,No,Yes,No,No,No,60,,,"Surgery time; Other: Outerbridge scale, Irrigation time",In person,,,,,,,30,,,30,,,,,,,,,,,,,,,,,,The use of the CASS system could improve clinical outcomes of intramedullary nailing via suprapatellar approach for patients with a small patellofemoral joint space.,
447,Franke 2018,Infrapatellar vs. suprapatellar approach to obtain an optimal insertion angle for intramedullary nailing of tibial fractures,Consensus,2018,g.franke@elbekliniken.de,Other: Germany,,Other: NA,Confirm the hypothesis that intramedullary nailing of tibial fractures can be performed with smaller insertion angles via a suprapatellar approach rather than infrapatellar approach,IPN vs SPN,Cadaveric,SPN midline,IPN transpatellar,NA,No,NA,NA,Yes,NA,Other: No,NA,36,,,"Nail insertion location; Other: K-wire insertion angle, Nail insertion angle",In person,,,,,,,19,,,17,,,,,,,,,,,,,,,,,,achieved an insertion angle significantly more parallel to the longitudinal axis when using a suprapatellar approach for intramedullary nailing of tibial fractures,reduced soft tissue mantle and muscle mass of the geriatric body donors
442,Cazzato 2018,Intramedullary nailing of tibial shaft fractures in the semi-extended position using a suprapatellar approach: A retrospective case series,Consensus,2018,maristellafrancesca.saccomanno@policlinicogemelli.it,Other: Italy,,IV,present the clinical outcomes of 25 patients affected by tibial shaft fractures treated by suprapatellar nailing at 2 years follow up,SPN,Case series,SPN unspecified,NA,NA,Yes,Yes,Yes,No,No,No,No,25,"Patients affected by a tibial shaft fracture (AO as 42-A, 42-B, 42-C), associated with other fractures involving the same or the contralateral limb as well as the pelvis were included. Open as well as closed fractures were considered eligible","age under 18 years, isolated tibia fractures, severe knee osteoarthrosis, history of previous surgeries on the same limb or knee infection, neurologic diseases.","Kujala; Lysholm; Oxford; SF-36; Alignment; ROM; Other: Infection, Hardware removal, IKDC Subjective Knee Form",Not-specified,,18,7,25,,,25,,,,,,,,,46.4,,,,,,,,28.76,,,,Based on the current literature and on the results of the present study suprapatellar nailing in the semi-extended position is a safe and easy technique. Clinical and radiographic outcomes are very good.,
430,Turkmen 2017,Influence of sagittal plane malpositioning of the patella on anterior knee pain after tibia intramedullary nailing,Consensus,2017,yavuz_saglam@hotmail.com,Other: Turkey,,III,We evaluated changes in patellar tendon length after tibia intramedullary   nailing   surgery   using   a   transtendinous approach  and  assessed  the  importance  of  nail  position  in relation to the anterior tibial cortex and joint line,IPN,Retrospective cohort study,IPN transpatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33,,,"Binary yes/no; Lysholm; Nail insertion location; Alignment; ROM; Other: Hospital for Special Surgery knee score, Thigh circumference, Union, Nail prominence, Insall-Salvati ratio, Caton-Deschamps ratio",Not-specified,,,,,,,33,,,,,,,,,,,,,,,,,79.2,,,,"KP and functional knee scores after tibia IM nailing using a transtendinous  approach  were  not associated with nail position in relation to the anterior tibial cortex or tibial plateau,  time  to  full  weight  bearing,  or  knee  range  of motion.",
424,Mehta 2017,Is device-assisted reduction prior to semi-extended intramedullary nailing of distal tibial fractures necessary?,Consensus,2017,n.j.mehta@doctors.net.uk,UK,,III,Assess whether a commercial reduction device is necessary to reduce the risk of mal-alignment in patients undergoing semi-extended nailing for distal tibial fractures,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,Yes,Yes,No,No,No,No,No,40,,,"Alignment; Other: Union, RUST score",,,,,,,,20,,,20,,,,,,,,,,,,,,6,,,,"the use of intra-operative devices to obtain reduction when nailing fractures of the distal tibia using semi-extended nailing increases operative time, with no clinical difference in mal-alignment",
421,Zamora 2016,Comparison between suprapatellar and parapatellar approaches for intramedullary nailing of the tibia. Cadaveric study,Consensus,2016,rodolfo.zamora@gmail.com,United States,,Other: NA,demonstrate whether the entry point for tibia nails is obtainable through suprapatellar or parapatellar approaches and to evaluate the most frequent injuries of the knee with these two approaches.,Other: SE vs SPN,Cadaveric,Other: Semi-extended medial parapatellar (EA),Other: Semi-extended lateral parapatellar (EA),SPN midline,NA,NA,NA,Yes,NA,Yes,NA,20,,,"Nail insertion location; Other: Outerbridge scale, Menisci damage (inspection post-dissection), Anterior cruciate ligament damage (inspection post-dissection), Intermeniscal ligament damage (inspection post-dissection), Articular surface damage (inspection post-dissection)",In person,,,,,,,5,,,5,,,10,,,,,,,,,,,,,,,"The parapatellar and suprapatellar approach have similar rates of damaging soft tissue structures in the knee. However, cartilage injuries are present in one-third of the specimens and located in the patella-femoral joint when utilizing the suprapatellar approach.",
414,Sun 2016,The outcome comparison of the suprapatellar approach and infrapatellar approach for tibia intramedullary nailing,Consensus,2016,cmdoctor@tongji.edu.cn,Other: China,,II,compare the outcome of suprapatellar and infrapatellar approaches for the tibia intramedullary nailing,IPN vs SPN,Randomised controlled trial,SPN midline,IPN medial parapatellar,NA,Yes,Yes,Yes,Yes,No,Yes,No,149,,,"Binary yes/no; Lysholm; Surgery time; Blood loss; Radiation dose; ROM; Other: Hospital stay, Complications, Union, VAS (ND), Patellofemoral joint damage (MRI)",Not-specified,,,,,,,75,,,74,,,,,,,,,,,,,,3,6,12,24,we recommend the suprapatellar approach as a preferable approach in tibia intramedullary nailing,
